"game_id","pfr_game_id","season","week","game_type","team","opponent","pfr_player_name","pfr_player_id","def_ints","def_targets","def_completions_allowed","def_completion_pct","def_yards_allowed","def_yards_allowed_per_cmp","def_yards_allowed_per_tgt","def_receiving_td_allowed","def_passer_rating_allowed","def_adot","def_air_yards_completed","def_yards_after_catch","def_times_blitzed","def_times_hurried","def_times_hitqb","def_sacks","def_pressures","def_tackles_combined","def_missed_tackles","def_missed_tackle_pct"
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Nick Bolton","BoltNi00",0,5,5,1,85,17,17,1,158.3,3.4,17,68,3,0,0,0,0,7,2,0.222
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Jaylen Watson","WatsJa02",0,7,5,0.714,53,10.6,7.6,0,93.2,12.3,22,31,1,0,0,0,0,11,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Chamarri Conner","ConnCh01",0,8,5,0.625,25,5,3.1,0,67.2,2.8,-12,37,1,0,0,0,0,6,3,0.333
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Bryan Cook","CookBr02",0,4,3,0.75,59,19.7,14.8,0,116.7,15.8,53,6,0,0,0,0,0,6,1,0.143
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Justin Reid","ReidJu00",0,3,3,1,13,4.3,4.3,0,84.7,2,6,7,2,0,0,0,0,9,1,0.1
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Drue Tranquill","TranDr00",0,5,2,0.4,7,3.5,1.4,0,47.9,0.4,-3,10,6,0,0,0,0,4,1,0.2
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Trent McDuffie","McDuTr00",0,6,2,0.333,22,11,3.7,0,45.1,5.3,21,1,1,0,0,0,0,4,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","George Karlaftis III","KarlGe00",0,1,1,1,9,9,9,0,104.2,3,3,6,0,3,1,0,4,2,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Chris Jones","JoneCh09",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,1,6,3,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Leo Chenal","ChenLe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,3,7,1,0.125
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Tershawn Wharton","WharTe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,3,3,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Michael Danna","DannMi00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,4,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Derrick Nnadi","NnadDe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1
"2024_01_BAL_KC","202409050kan",2024,1,"REG","KC","BAL","Joshua Williams","WillJo03",0,1,0,0,NA,NA,0,NA,39.6,40,NA,NA,0,0,0,0,0,1,0,0
"2024_01_BAL_KC","202409050kan",2024,1,"REG","BAL","KC","Roquan Smith","SmitRo07",1,7,6,0.857,80,13.3,11.4,0,74.7,3.4,16,64,1,0,0,0,0,7,1,0.125
"2024_01_BAL_KC","202409050kan",2024,1,"REG","BAL","KC","Trenton Simpson","SimpTr00",0,4,3,0.75,37,12.3,9.3,0,103.1,5.3,11,26,2,0,0,0.5,1,5,2,0.286
