game_id,week,home_team,away_team,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_total,away_total,total_points,season,game_type,home_score,away_score,home_rest,away_rest,div_game,spread_line,total_line,roof,q1_total,q1_spread,q1_home_won,h1_total,h1_spread,h1_home_won,h2_total,h2_spread,overtime,has_2pt_conversion
2025_01_ARI_NO,1,NO,ARI,0,3,10,14,0,3,3,0,13,20,33,2025,REG,13,20,7,7,False,0.0,45.64024390243903,outdoors,3,-3,0,27,-7,0,6,0,0,0
2025_01_BAL_BUF,1,BUF,BAL,7,3,6,17,6,14,22,6,41,40,81,2025,REG,41,40,7,7,False,0.0,45.64024390243903,outdoors,10,4,1,33,-7,0,48,8,0,0
2025_01_CAR_JAX,1,JAX,CAR,3,3,17,0,0,0,6,7,26,10,36,2025,REG,26,10,7,7,False,0.0,45.64024390243903,outdoors,6,0,0,23,17,1,13,-1,0,0
2025_01_CIN_CLE,1,CLE,CIN,0,7,10,7,6,3,0,0,16,17,33,2025,REG,16,17,7,7,False,0.0,45.64024390243903,outdoors,7,-7,0,24,-4,0,9,3,0,0
2025_01_DAL_PHI,1,PHI,DAL,7,7,14,13,3,0,0,0,24,20,44,2025,REG,24,20,7,7,False,0.0,45.64024390243903,outdoors,14,0,0,41,1,1,3,3,0,0
2025_01_DET_GB,1,GB,DET,10,0,7,3,0,3,10,7,27,13,40,2025,REG,27,13,7,7,False,0.0,45.64024390243903,outdoors,10,10,1,20,14,1,20,0,0,0
2025_01_HOU_LA,1,LA,HOU,0,3,7,6,7,0,0,0,14,9,23,2025,REG,14,9,7,7,False,0.0,45.64024390243903,outdoors,3,-3,0,16,-2,0,7,7,0,0
2025_01_KC_LAC,1,LAC,KC,7,0,6,6,7,6,7,9,27,21,48,2025,REG,27,21,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,19,7,1,29,-1,0,0
2025_01_LV_NE,1,NE,LV,7,7,3,0,0,10,3,3,13,20,33,2025,REG,13,20,7,7,False,0.0,45.64024390243903,outdoors,14,0,0,17,3,1,16,-10,0,0
2025_01_MIA_IND,1,IND,MIA,3,0,17,0,3,0,10,6,33,6,39,2025,REG,33,6,7,7,False,0.0,45.64024390243903,outdoors,3,3,1,20,20,1,19,7,0,0
2025_01_MIN_CHI,1,CHI,MIN,7,0,3,6,1,6,7,19,18,31,49,2025,REG,18,31,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,16,4,1,33,-17,0,0
2025_01_NYG_WAS,1,WAS,NYG,7,0,7,3,0,3,7,0,21,6,27,2025,REG,21,6,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,17,11,1,10,4,0,0
2025_01_PIT_NYJ,1,NYJ,PIT,9,7,10,10,7,0,6,17,32,34,66,2025,REG,32,34,7,7,False,0.0,45.64024390243903,outdoors,16,2,1,36,2,1,30,-4,0,0
2025_01_SF_SEA,1,SEA,SF,0,7,10,0,0,0,3,10,13,17,30,2025,REG,13,17,7,7,False,0.0,45.64024390243903,outdoors,7,-7,0,17,3,1,13,-7,0,0
2025_01_TB_ATL,1,ATL,TB,7,0,3,10,3,7,7,6,20,23,43,2025,REG,20,23,7,7,False,0.0,45.64024390243903,outdoors,7,7,1,20,0,0,23,-3,0,0
2025_01_TEN_DEN,1,DEN,TEN,3,3,7,6,3,3,7,0,20,12,32,2025,REG,20,12,7,7,False,0.0,45.64024390243903,outdoors,6,0,0,19,1,1,13,7,0,0
2025_02_ATL_MIN,2,MIN,ATL,0,6,6,3,0,3,0,10,6,22,28,2025,REG,6,22,7,7,False,0.0,45.64024390243903,outdoors,6,-6,0,15,-3,0,13,-13,0,0
2025_02_BUF_NYJ,2,NYJ,BUF,0,10,3,10,0,3,7,7,10,30,40,2025,REG,10,30,7,7,False,0.0,45.64024390243903,outdoors,10,-10,0,23,-17,0,17,-3,0,0
2025_02_CAR_ARI,2,ARI,CAR,4,9,10,0,7,6,0,13,21,28,49,2025,REG,21,28,7,7,False,0.0,45.64024390243903,outdoors,13,-5,0,23,5,1,26,-12,0,0
2025_02_CHI_DET,2,DET,CHI,14,7,14,7,10,0,14,7,52,21,73,2025,REG,52,21,7,7,False,0.0,45.64024390243903,outdoors,21,7,1,42,14,1,31,17,0,0
2025_02_CLE_BAL,2,BAL,CLE,3,0,7,3,10,7,15,13,35,23,58,2025,REG,35,23,7,7,False,0.0,45.64024390243903,outdoors,3,3,1,13,7,1,45,5,0,0
2025_02_DEN_IND,2,IND,DEN,6,7,14,14,3,7,6,0,29,28,57,2025,REG,29,28,7,7,False,0.0,45.64024390243903,outdoors,13,-1,0,41,-1,0,16,2,0,0
2025_02_JAX_CIN,2,CIN,JAX,7,7,3,10,14,7,7,3,31,27,58,2025,REG,31,27,7,7,False,0.0,45.64024390243903,outdoors,14,0,0,27,-7,0,31,11,0,0
2025_02_LAC_LV,2,LV,LAC,3,10,3,7,0,3,3,0,9,20,29,2025,REG,9,20,7,7,False,0.0,45.64024390243903,outdoors,13,-7,0,23,-11,0,6,0,0,0
2025_02_LA_TEN,2,TEN,LA,0,7,13,3,3,10,3,13,19,33,52,2025,REG,19,33,7,7,False,0.0,45.64024390243903,outdoors,7,-7,0,23,3,1,29,-17,0,0
2025_02_NE_MIA,2,MIA,NE,0,12,14,3,6,6,1,16,21,37,58,2025,REG,21,37,7,7,False,0.0,45.64024390243903,outdoors,12,-12,0,29,-1,0,29,-15,0,0
2025_02_NYG_DAL,2,DAL,NYG,0,6,10,7,7,3,20,21,37,37,74,2025,REG,37,37,7,7,False,0.0,45.64024390243903,outdoors,6,-6,0,23,-3,0,51,3,0,0
2025_02_PHI_KC,2,KC,PHI,0,7,10,3,0,3,7,7,17,20,37,2025,REG,17,20,7,7,False,0.0,45.64024390243903,outdoors,7,-7,0,20,0,0,17,-3,0,0
2025_02_SEA_PIT,2,PIT,SEA,6,7,6,0,0,7,9,11,21,25,46,2025,REG,21,25,7,7,False,0.0,45.64024390243903,outdoors,13,-1,0,19,5,1,27,-9,0,0
