game_id,season,week,game_date,home_team,away_team,home_score,away_score,temperature,wind_speed,is_dome,is_primetime,precipitation,is_division_game,is_playoff
2022_01_BUF_LA,2022,1,2022-09-08,LA,BUF,10.0,31.0,,,True,True,none,False,True
2022_01_NO_ATL,2022,1,2022-09-11,ATL,NO,26.0,27.0,,,True,False,none,False,True
2022_01_CLE_CAR,2022,1,2022-09-11,CAR,CLE,24.0,26.0,,,False,False,none,False,True
2022_01_SF_CHI,2022,1,2022-09-11,CHI,SF,19.0,10.0,,,False,False,none,False,True
2022_01_PIT_CIN,2022,1,2022-09-11,CIN,PIT,20.0,23.0,,,False,False,none,False,True
2022_01_PHI_DET,2022,1,2022-09-11,DET,PHI,35.0,38.0,,,True,False,none,False,True
2022_01_IND_HOU,2022,1,2022-09-11,HOU,IND,20.0,20.0,,,True,False,none,False,True
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,20.0,7.0,,,False,False,none,False,True
2022_01_BAL_NYJ,2022,1,2022-09-11,NYJ,BAL,9.0,24.0,,,False,False,none,False,True
2022_01_JAX_WAS,2022,1,2022-09-11,WAS,JAX,28.0,22.0,,,False,False,none,False,True
2022_01_KC_ARI,2022,1,2022-09-11,ARI,KC,21.0,44.0,,,True,False,none,False,True
2022_01_LV_LAC,2022,1,2022-09-11,LAC,LV,24.0,19.0,,,True,False,none,False,True
2022_01_GB_MIN,2022,1,2022-09-11,MIN,GB,23.0,7.0,,,True,False,none,False,True
2022_01_NYG_TEN,2022,1,2022-09-11,TEN,NYG,20.0,21.0,,,False,False,none,False,True
2022_01_TB_DAL,2022,1,2022-09-11,DAL,TB,3.0,19.0,,,True,True,none,False,True
2022_01_DEN_SEA,2022,1,2022-09-12,SEA,DEN,17.0,16.0,,,False,True,none,False,True
2022_02_LAC_KC,2022,2,2022-09-15,KC,LAC,27.0,24.0,,,False,True,none,False,True
2022_02_MIA_BAL,2022,2,2022-09-18,BAL,MIA,38.0,42.0,,,False,False,none,False,True
2022_02_NYJ_CLE,2022,2,2022-09-18,CLE,NYJ,30.0,31.0,,,False,False,none,False,True
2022_02_WAS_DET,2022,2,2022-09-18,DET,WAS,36.0,27.0,,,True,False,none,False,True
2022_02_IND_JAX,2022,2,2022-09-18,JAX,IND,24.0,0.0,,,False,False,none,False,True
2022_02_TB_NO,2022,2,2022-09-18,NO,TB,10.0,20.0,,,True,False,none,False,True
2022_02_CAR_NYG,2022,2,2022-09-18,NYG,CAR,19.0,16.0,,,False,False,none,False,True
2022_02_NE_PIT,2022,2,2022-09-18,PIT,NE,14.0,17.0,,,False,False,none,False,True
2022_02_ATL_LA,2022,2,2022-09-18,LA,ATL,31.0,27.0,,,True,False,none,False,True
2022_02_SEA_SF,2022,2,2022-09-18,SF,SEA,27.0,7.0,,,False,False,none,False,True
2022_02_CIN_DAL,2022,2,2022-09-18,DAL,CIN,20.0,17.0,,,True,False,none,False,True
2022_02_HOU_DEN,2022,2,2022-09-18,DEN,HOU,16.0,9.0,,,False,False,none,False,True
2022_02_ARI_LV,2022,2,2022-09-18,LV,ARI,23.0,29.0,,,True,False,none,False,True
2022_02_CHI_GB,2022,2,2022-09-18,GB,CHI,27.0,10.0,,,False,True,none,False,True
2022_02_TEN_BUF,2022,2,2022-09-19,BUF,TEN,41.0,7.0,,,False,False,none,False,True
2022_02_MIN_PHI,2022,2,2022-09-19,PHI,MIN,24.0,7.0,,,False,True,none,False,True
2022_03_PIT_CLE,2022,3,2022-09-22,CLE,PIT,29.0,17.0,,,False,True,none,False,True
2022_03_NO_CAR,2022,3,2022-09-25,CAR,NO,22.0,14.0,,,False,False,none,False,True
2022_03_HOU_CHI,2022,3,2022-09-25,CHI,HOU,23.0,20.0,,,False,False,none,False,True
2022_03_KC_IND,2022,3,2022-09-25,IND,KC,20.0,17.0,,,False,False,none,False,True
2022_03_BUF_MIA,2022,3,2022-09-25,MIA,BUF,21.0,19.0,,,False,False,none,False,True
2022_03_DET_MIN,2022,3,2022-09-25,MIN,DET,28.0,24.0,,,True,False,none,False,True
2022_03_BAL_NE,2022,3,2022-09-25,NE,BAL,26.0,37.0,,,False,False,none,False,True
2022_03_CIN_NYJ,2022,3,2022-09-25,NYJ,CIN,12.0,27.0,,,False,False,none,False,True
2022_03_LV_TEN,2022,3,2022-09-25,TEN,LV,24.0,22.0,,,False,False,none,False,True
2022_03_PHI_WAS,2022,3,2022-09-25,WAS,PHI,8.0,24.0,,,False,False,none,False,True
2022_03_JAX_LAC,2022,3,2022-09-25,LAC,JAX,10.0,38.0,,,True,False,none,False,True
2022_03_LA_ARI,2022,3,2022-09-25,ARI,LA,12.0,20.0,,,True,False,none,False,True
2022_03_ATL_SEA,2022,3,2022-09-25,SEA,ATL,23.0,27.0,,,False,False,none,False,True
2022_03_GB_TB,2022,3,2022-09-25,TB,GB,12.0,14.0,,,False,False,none,False,True
2022_03_SF_DEN,2022,3,2022-09-25,DEN,SF,11.0,10.0,,,False,True,none,False,True
2022_03_DAL_NYG,2022,3,2022-09-26,NYG,DAL,16.0,23.0,,,False,True,none,False,True
2022_04_MIA_CIN,2022,4,2022-09-29,CIN,MIA,27.0,15.0,,,False,True,none,False,True
2022_04_MIN_NO,2022,4,2022-10-02,NO,MIN,25.0,28.0,,,False,False,none,False,True
2022_04_CLE_ATL,2022,4,2022-10-02,ATL,CLE,23.0,20.0,,,False,False,none,False,True
2022_04_BUF_BAL,2022,4,2022-10-02,BAL,BUF,20.0,23.0,,,False,False,none,False,True
2022_04_WAS_DAL,2022,4,2022-10-02,DAL,WAS,25.0,10.0,,,True,False,none,False,True
2022_04_SEA_DET,2022,4,2022-10-02,DET,SEA,45.0,48.0,,,True,False,none,False,True
2022_04_LAC_HOU,2022,4,2022-10-02,HOU,LAC,24.0,34.0,,,True,False,none,False,True
2022_04_TEN_IND,2022,4,2022-10-02,IND,TEN,17.0,24.0,,,False,False,none,False,True
2022_04_CHI_NYG,2022,4,2022-10-02,NYG,CHI,20.0,12.0,,,False,False,none,False,True
2022_04_JAX_PHI,2022,4,2022-10-02,PHI,JAX,29.0,21.0,,,False,False,none,False,True
2022_04_NYJ_PIT,2022,4,2022-10-02,PIT,NYJ,20.0,24.0,,,False,False,none,False,True
2022_04_ARI_CAR,2022,4,2022-10-02,CAR,ARI,16.0,26.0,,,False,False,none,False,True
2022_04_NE_GB,2022,4,2022-10-02,GB,NE,27.0,24.0,,,False,False,none,False,True
2022_04_DEN_LV,2022,4,2022-10-02,LV,DEN,32.0,23.0,,,True,False,none,False,True
2022_04_KC_TB,2022,4,2022-10-02,TB,KC,31.0,41.0,,,False,True,none,False,True
2022_04_LA_SF,2022,4,2022-10-03,SF,LA,24.0,9.0,,,False,True,none,False,True
2022_05_IND_DEN,2022,5,2022-10-06,DEN,IND,9.0,12.0,,,False,True,none,False,True
2022_05_NYG_GB,2022,5,2022-10-09,GB,NYG,22.0,27.0,,,False,False,none,False,True
