season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2020.0,1.0,ARI,WR,KeeSean Johnson,00-0035287,,,Did Not Participate In Practice,KeeSean Johnson,
2020.0,1.0,ARI,WR,Larry Fitzgerald,00-0022921,,,Full Participation in Practice,Larry Fitzgerald,
2020.0,1.0,ARI,WR,DeAndre Hopkins,00-0030564,,,Full Participation in Practice,DeAndre Hopkins,
2020.0,1.0,ARI,TE,Maxx Williams,00-0031558,,,Full Participation in Practice,Maxx Williams,
2020.0,1.0,ARI,T,Josh Jones,00-0036363,Out,Ankle,Did Not Participate In Practice,Josh Jones,OUT
2020.0,1.0,ATL,G,James Carpenter,00-0027963,,,Did Not Participate In Practice,James Carpenter,
2020.0,1.0,ATL,RB,Todd Gurley,00-0032241,,,Did Not Participate In Practice,Todd Gurley,
2020.0,1.0,ATL,C,Alex Mack,00-0026997,,,Did Not Participate In Practice,Alex Mack,
2020.0,1.0,ATL,DE,Dante Fowler,00-0032052,,,Full Participation in Practice,Dante Fowler,
2020.0,1.0,ATL,WR,Russell Gage,00-0034411,,,Full Participation in Practice,Russell Gage,
2020.0,1.0,ATL,C,Matt Hennessy,00-0036295,,,Full Participation in Practice,Matt Hennessy,
2020.0,1.0,ATL,WR,Julio Jones,00-0027944,,,Limited Participation in Practice,Julio Jones,
2020.0,1.0,ATL,CB,A.J. Terrell,00-0036285,,,Limited Participation in Practice,A.J. Terrell,
2020.0,1.0,ATL,WR,Olamide Zaccheaus,00-0035208,,,Limited Participation in Practice,Olamide Zaccheaus,
2020.0,1.0,ATL,DE,Charles Harris,00-0033880,Out,Ankle,Did Not Participate In Practice,Charles Harris,OUT
2020.0,1.0,ATL,CB,Kendall Sheffield,00-0035255,Out,Foot,Did Not Participate In Practice,Kendall Sheffield,OUT
2020.0,1.0,ATL,DT,Marlon Davidson,00-0036291,Questionable,Knee,Limited Participation in Practice,Marlon Davidson,QUESTIONABLE
2020.0,1.0,BAL,LB,Pernell McPhee,00-0028103,,,Did Not Participate In Practice,Pernell McPhee,
2020.0,1.0,BAL,RB,Justice Hill,00-0034975,Out,Thigh,Did Not Participate In Practice,Justice Hill,OUT
2020.0,1.0,BAL,DT,Justin Madubuike,00-0036130,Out,Knee,Did Not Participate In Practice,Justin Madubuike,OUT
2020.0,1.0,BAL,WR,Chris Moore,00-0032398,Out,Finger,Did Not Participate In Practice,Chris Moore,OUT
2020.0,1.0,BAL,G,Tyre Phillips,00-0036214,Questionable,Ankle,Full Participation in Practice,Tyre Phillips,QUESTIONABLE
2020.0,1.0,BUF,RB,Taiwan Jones,00-0028063,,,Full Participation in Practice,Taiwan Jones,
2020.0,1.0,BUF,CB,Levi Wallace,00-0034514,,,Full Participation in Practice,Levi Wallace,
2020.0,1.0,BUF,QB,Jake Fromm,00-0036197,,,Limited Participation in Practice,Jake Fromm,
2020.0,1.0,BUF,CB,Josh Norman,00-0029285,Out,Hamstring,Did Not Participate In Practice,Josh Norman,OUT
2020.0,1.0,BUF,DT,Vernon Butler,00-0032967,Questionable,Hamstring,Full Participation in Practice,Vernon Butler,QUESTIONABLE
2020.0,1.0,CAR,LB,Adarius Taylor,00-0031120,,,Did Not Participate In Practice,Adarius Taylor,
2020.0,1.0,CAR,DE,Brian Burns,00-0035713,,,Full Participation in Practice,Brian Burns,
2020.0,1.0,CAR,S,Juston Burris,00-0032403,,,Full Participation in Practice,Juston Burris,
2020.0,1.0,CAR,RB,Trenton Cannon,00-0034164,,,Full Participation in Practice,Trenton Cannon,
2020.0,1.0,CAR,CB,Corn Elder,00-0033289,,,Full Participation in Practice,Corn Elder,
2020.0,1.0,CAR,DE,Yetur Gross-Matos,00-0036288,,,Full Participation in Practice,Yetur Gross-Matos,
2020.0,1.0,CAR,CB,Donte Jackson,00-0034356,,,Full Participation in Practice,Donte Jackson,
2020.0,1.0,CAR,C,Tyler Larsen,00-0030869,,,Full Participation in Practice,Tyler Larsen,
2020.0,1.0,CAR,T,Greg Little,00-0035694,,,Full Participation in Practice,Greg Little,
2020.0,1.0,CAR,T,Taylor Moton,00-0033284,,,Full Participation in Practice,Taylor Moton,
2020.0,1.0,CAR,T,Russell Okung,00-0027859,,,Full Participation in Practice,Russell Okung,
2020.0,1.0,CAR,CB,Troy Pride,00-0036299,,,Full Participation in Practice,Troy Pride,
2020.0,1.0,CAR,WR,Curtis Samuel,00-0033282,,,Full Participation in Practice,Curtis Samuel,
2020.0,1.0,CAR,T,Trenton Scott,00-0034571,,,Full Participation in Practice,Trenton Scott,
2020.0,1.0,CAR,DT,Kawann Short,00-0030448,,,Full Participation in Practice,Kawann Short,
2020.0,1.0,CAR,TE,Ian Thomas,00-0034365,,,Full Participation in Practice,Ian Thomas,
2020.0,1.0,CAR,LB,Shaq Thompson,00-0031550,,,Full Participation in Practice,Shaq Thompson,
2020.0,1.0,CAR,LB,Tahir Whitehead,00-0029212,,,Full Participation in Practice,Tahir Whitehead,
2020.0,1.0,CAR,WR,Brandon Zylstra,00-0034052,,,Full Participation in Practice,Brandon Zylstra,
2020.0,1.0,CAR,G,Dennis Daley,00-0035300,Out,Ankle,Did Not Participate In Practice,Dennis Daley,OUT
2020.0,1.0,CAR,CB,Stantley Thomas-Oliver,00-0036315,Questionable,Hamstring,Limited Participation in Practice,Stantley Thomas-Oliver,QUESTIONABLE
2020.0,1.0,CAR,DE,Stephen Weatherly,00-0032448,Questionable,Hamstring,Limited Participation in Practice,Stephen Weatherly,QUESTIONABLE
2020.0,1.0,CHI,DE,Robert Quinn,00-0027952,Doubtful,Ankle,Did Not Participate In Practice,Robert Quinn,DOUBTFUL
2020.0,1.0,CHI,T,Germain Ifedi,00-0032384,Questionable,Triceps,Full Participation in Practice,Germain Ifedi,QUESTIONABLE
2020.0,1.0,CHI,RB,David Montgomery,00-0035685,Questionable,Groin,Full Participation in Practice,David Montgomery,QUESTIONABLE
2020.0,1.0,CHI,WR,Cordarrelle Patterson,00-0030578,Questionable,Knee,Full Participation in Practice,Cordarrelle Patterson,QUESTIONABLE
2020.0,1.0,CHI,CB,Buster Skrine,00-0028075,Questionable,Finger,Full Participation in Practice,Buster Skrine,QUESTIONABLE
2020.0,1.0,CHI,T,Jason Spriggs,00-0032766,Questionable,Knee,Full Participation in Practice,Jason Spriggs,QUESTIONABLE
2020.0,1.0,CHI,WR,Javon Wims,00-0034426,Questionable,Achilles,Full Participation in Practice,Javon Wims,QUESTIONABLE
2020.0,1.0,CHI,LB,Khalil Mack,00-0031040,Questionable,Knee,Limited Participation in Practice,Khalil Mack,QUESTIONABLE
