player_id,player,recent_team,week,completions,attempts,passing_yards,passing_tds,interception,position,season,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,team,player_name,player_display_name,fantasy_points_ppr,fantasy_points,points
00-0023459,A.Rodgers,PIT,1,22.0,34.0,244.0,4.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,25.76,25.76,25.76
00-0023459,A.Rodgers,PIT,2,18.0,37.0,203.0,1.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,12.12,12.12,12.12
00-0023459,A.Rodgers,PIT,3,16.0,23.0,139.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,13.559999,13.559999,13.559999
00-0023459,A.Rodgers,PIT,4,18.0,24.0,200.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,12.0,12.0,12.0
00-0023459,A.Rodgers,PIT,6,21.0,30.0,235.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,17.4,17.4,17.4
00-0023459,A.Rodgers,PIT,7,23.0,34.0,249.0,4.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,25.96,25.96,25.96
00-0023459,A.Rodgers,PIT,8,24.0,40.0,219.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,16.76,16.76,16.76
00-0023459,A.Rodgers,PIT,9,25.0,38.0,203.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,12.12,12.12,12.12
00-0023459,A.Rodgers,PIT,10,16.0,34.0,161.0,1.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,10.440001,10.440001,10.440001
00-0023459,A.Rodgers,PIT,11,9.0,16.0,116.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,A.Rodgers,A.Rodgers,8.639999,8.639999,8.639999
