"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2024,"REG","ARI",1,"00-0039521","WR","Xavier Weaver","Xavier","Weaver","Oblique",NA,"Out","Oblique",NA,"Did Not Participate In Practice",2024-09-06 19:05:30
2024,"REG","ARI",1,"00-0037141","S","Joey Blount","Joey","Blount","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2024-09-06 19:05:21
2024,"REG","ARI",1,"00-0039737","TE","Tip Reiman","Tip","Reiman","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2024-09-06 19:05:21
2024,"REG","ATL",1,"00-0031583","DT","Grady Jarrett","Grady","Jarrett",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2024-09-06 18:35:04
2024,"REG","ATL",1,"00-0033051","DT","David Onyemata","David","Onyemata",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2024-09-06 18:35:48
2024,"REG","ATL",1,"00-0037587","LB","Nate Landman","Nate","Landman",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2024-09-06 18:33:05
2024,"REG","ATL",1,"00-0036970","TE","Kyle Pitts","Kyle","Pitts",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2024-09-06 18:32:46
2024,"REG","ATL",1,"00-0036948","DE","Ta'Quon Graham","Ta'Quon","Graham",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2024-09-06 18:34:43
2024,"REG","ATL",1,"00-0031279","T","Jake Matthews","Jake","Matthews",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2024-09-06 18:34:09
2024,"REG","ATL",1,"00-0032933","CB","Antonio Hamilton","Antonio","Hamilton","Groin",NA,"Out","Groin",NA,"Did Not Participate In Practice",2024-09-06 18:36:29
2024,"REG","BAL",1,"00-0031360","LB","Kyle Van Noy","Kyle","Van Noy","gameday concussion protocol evaluation","Eye","Out",NA,NA,"
    ",2024-09-06 03:11:40
2024,"REG","BAL",1,"00-0039791","LB","Adisa Isaac","Adisa","Isaac","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2024-09-04 16:29:36
2024,"REG","BAL",1,"00-0039796","RB","Rasheen Ali","Rasheen","Ali","Neck",NA,"Doubtful","Neck",NA,"Limited Participation in Practice",2024-09-04 16:29:28
2024,"REG","BUF",1,"00-0039872","S","Cole Bishop","Cole","Bishop",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2024-09-07 20:07:55
