game_id,week,kicker_id,kicker_name,team,fg_made,fg_att,xp_made,xp_att,total_points,season_avg_fg_made,l3_avg_fg_made,season_avg_xp_made,l3_avg_xp_made,season_avg_total_points,l3_avg_total_points,games_played,home_team,away_team,is_home
2025_01_BAL_BUF,1,00-0023853,M.Prater,BUF,3,3,2,2,11,2.0,1.6666666666666667,3.25,3.6666666666666665,9.25,8.666666666666666,1,BUF,BAL,1
2025_02_BUF_NYJ,2,00-0023853,M.Prater,BUF,3,3,3,3,12,2.0,2.0,2.333333333333333,2.333333333333333,8.333333333333334,8.333333333333334,2,NYJ,BUF,0
2025_03_MIA_BUF,3,00-0023853,M.Prater,BUF,1,2,4,4,7,1.0,1.0,3.0,3.0,6.0,6.0,3,BUF,MIA,1
2025_04_NO_BUF,4,00-0023853,M.Prater,BUF,1,1,4,4,7,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,6.333333333333333,5.333333333333333,4,BUF,NO,1
2025_05_NE_BUF,5,00-0023853,M.Prater,BUF,2,2,2,2,8,2.0,2.333333333333333,2.6,2.333333333333333,8.6,9.333333333333334,5,BUF,NE,1
2025_08_BUF_CAR,8,00-0023853,M.Prater,BUF,2,2,4,5,10,1.0,1.0,1.5,1.5,4.5,4.5,6,CAR,BUF,0
2025_09_KC_BUF,9,00-0023853,M.Prater,BUF,0,1,4,4,4,2.0,2.0,1.0,1.0,7.0,7.0,7,BUF,KC,1
2025_11_TB_BUF,11,00-0023853,M.Prater,BUF,1,1,5,5,8,1.5555555555555556,1.3333333333333333,1.5555555555555556,0.6666666666666666,6.222222222222222,4.666666666666667,8,BUF,TB,1
2025_01_PIT_NYJ,1,00-0025565,N.Folk,NYJ,2,2,2,2,8,1.8,1.3333333333333333,1.8,1.6666666666666667,7.2,5.666666666666667,1,NYJ,PIT,1
2025_02_BUF_NYJ,2,00-0025565,N.Folk,NYJ,1,1,1,1,4,2.25,2.333333333333333,2.25,1.6666666666666667,9.0,8.666666666666666,2,NYJ,BUF,1
2025_03_NYJ_TB,3,00-0025565,N.Folk,NYJ,2,2,3,3,9,1.25,1.3333333333333333,2.75,2.6666666666666665,6.5,6.666666666666667,3,TB,NYJ,0
2025_04_NYJ_MIA,4,00-0025565,N.Folk,NYJ,2,2,1,1,7,2.5,2.5,1.5,1.5,9.0,9.0,4,MIA,NYJ,0
2025_05_DAL_NYJ,5,00-0025565,N.Folk,NYJ,2,2,0,0,6,1.6666666666666667,1.6666666666666667,1.0,1.0,6.0,6.0,5,NYJ,DAL,1
2025_06_DEN_NYJ,6,00-0025565,N.Folk,NYJ,3,3,0,0,9,1.75,1.6666666666666667,2.375,2.333333333333333,7.625,7.333333333333333,6,NYJ,DEN,1
2025_07_CAR_NYJ,7,00-0025565,N.Folk,NYJ,2,2,0,0,6,2.2222222222222223,2.0,2.333333333333333,3.333333333333333,9.0,9.333333333333334,7,NYJ,CAR,1
2025_08_NYJ_CIN,8,00-0025565,N.Folk,NYJ,3,3,2,2,11,2.1666666666666665,2.333333333333333,2.1666666666666665,2.333333333333333,8.666666666666666,9.333333333333334,8,CIN,NYJ,0
2025_10_CLE_NYJ,10,00-0025565,N.Folk,NYJ,2,2,3,3,9,1.4285714285714286,0.3333333333333333,2.0,1.6666666666666667,6.285714285714286,2.6666666666666665,9,NYJ,CLE,1
2025_01_NYG_WAS,1,00-0026858,G.Gano,NYG,2,2,0,0,6,2.0,2.0,1.5,2.0,7.5,8.0,1,WAS,NYG,0
2025_02_NYG_DAL,2,00-0026858,G.Gano,NYG,3,3,4,4,13,2.25,2.333333333333333,3.0,3.6666666666666665,9.75,10.666666666666666,2,DAL,NYG,0
2025_03_KC_NYG,3,00-0026858,G.Gano,NYG,1,1,0,0,3,2.0,1.3333333333333333,2.142857142857143,2.6666666666666665,8.142857142857142,6.666666666666667,3,NYG,KC,1
2025_08_NYG_PHI,8,00-0026858,G.Gano,NYG,2,2,2,2,8,2.0,2.0,2.0,2.0,8.0,8.0,4,PHI,NYG,0
2025_09_SF_NYG,9,00-0026858,G.Gano,NYG,1,2,3,3,6,1.9,1.6666666666666667,1.9,2.0,7.6,7.0,5,NYG,SF,1
