"season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_gsis_id","player_first_name","player_last_name","player_jersey_number","player_short_name"
2024,"REG",0,"Ray-Ray McCloud","WR","ATL",8.14394736842105,3.18788919801464,6.72045977011494,13.0542146885591,62,87,71.264367816092,686,1,5.63661290322581,4.46505894762189,1.17155395560392,"00-0034407","Ray-Ray","McCloud",34,"R.McCloud"
2024,"REG",0,"Marvin Mims","WR","DEN",7.99636363636364,5.20558775391506,7.13980769230769,9.1467215235092,39,52,75,501,6,12.4141025641026,9.6366527861598,2.77744977794277,"00-0038976","Marvin","Mims",19,"M.Mims"
2024,"REG",0,"Tutu Atwell","WR","LAR",7.4940350877193,3.36899800655049,11.8514516129032,18.0116778444523,42,62,67.741935483871,562,0,2.89714285714286,3.49691940819328,-0.599776551050425,"00-0036849","Chatarius","Atwell",5,"T.Atwell"
2024,"REG",0,"Greg Dortch","WR","ARI",7.47525,3.68880135579219,4.2516,5.75769887056147,37,50,74,342,3,8.03432432432433,5.52106062966656,2.51326369465777,"00-0035500","Greg","Dortch",4,"G.Dortch"
2024,"REG",0,"Troy Franklin","WR","DEN",7.35823529411765,3.80575277519494,13.2366037735849,17.2833544794964,28,53,52.8301886792453,263,2,6.08678571428571,5.64554072003537,0.441244994250349,"00-0039868","Troy","Franklin",16,"T.Franklin"
2024,"REG",0,"Zay Flowers","WR","BAL",7.25307692307692,3.91550021472058,10.6230172413793,29.7428483157458,74,116,63.7931034482759,1059,4,6.23364864864865,4.59688533403102,1.63676331461763,"00-0039064","Xavien","Flowers",4,"Z.Flowers"
2024,"REG",0,"Jalen McMillan","WR","TB",7.17490909090909,3.27622006948164,12.1675862068966,18.4258691139802,37,58,63.7931034482759,461,8,3.79891891891892,3.97613001467206,-0.177211095753142,"00-0039855","Jalen","McMillan",15,"J.McMillan"
2024,"REG",0,"Cooper Kupp","WR","LAR",7.11934065934066,3.26357526407534,7.8189,19.1662254382869,67,100,67,710,6,4.24298507462687,4.00783342540378,0.235151649223083,"00-0033908","Cooper","Kupp",10,"C.Kupp"
2024,"REG",0,"Olamide Zaccheaus","WR","WAS",7.10733333333333,3.99446812687489,6.35921875,10.2403136078744,45,64,70.3125,506,3,6.41466666666667,5.67874602051723,0.735920646149437,"00-0035208","Olamide","Zaccheaus",14,"O.Zaccheaus"
2024,"REG",0,"Jayden Reed","WR","GB",7.01271186440678,3.99640211725985,8.15653333333333,15.1942058646744,55,75,73.3333333333333,857,6,7.52018181818182,6.49064049320705,1.02954132497477,"00-0039146","Jayden","Reed",11,"J.Reed"
2024,"REG",0,"Cole Kmet","TE","CHI",6.96714285714286,3.90141030803742,6.73054545454546,8.89402516025488,47,55,85.4545454545455,474,4,4.42765957446808,4.73017109007151,-0.302511515603424,"00-0036290","Cole","Kmet",85,"C.Kmet"
2024,"REG",0,"Stefon Diggs","WR","HOU",6.93322033898305,3.02188381050973,8.71640625,12.3486168265261,47,64,73.4375,496,3,4.06468085106383,3.90655449247993,0.158126358583895,"00-0031588","Stefon","Diggs",1,"S.Diggs"
2024,"REG",0,"Dalton Schultz","TE","HOU",6.92706896551724,3.16904358386392,7.59988235294118,14.2996916442908,53,85,62.3529411764706,532,2,4.21849056603774,3.90931611340957,0.309174452628163,"00-0034383","Dalton","Schultz",86,"D.Schultz"
