player_id,player_name,team,opponent,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,season_avg_completions,l3_avg_completions,season_avg_attempts,l3_avg_attempts,season_avg_targets,l3_avg_targets,season_avg_interceptions,l3_avg_interceptions,games_played
00-0023459,A.Rodgers,PIT,NYJ,1,2025,2025_01_PIT_NYJ,QB,244.0,4.0,22.0,34.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.285714285714285,13.0,0.0,0.0,1.5714285714285714,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,3.0,0.0,0.0,1
00-0023459,A.Rodgers,PIT,SEA,2,2025,2025_02_SEA_PIT,QB,203.0,1.0,18.0,37.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2
00-0023459,A.Rodgers,PIT,NE,3,2025,2025_03_PIT_NE,QB,139.0,2.0,16.0,23.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0,255.71428571428572,237.33333333333334,1.4285714285714286,2.0,11.428571428571429,8.666666666666666,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,3.6666666666666665,21.714285714285715,21.666666666666668,32.0,33.0,0.0,0.0,0.42857142857142855,0.3333333333333333,3
00-0023459,A.Rodgers,PIT,MIN,4,2025,2025_04_MIN_PIT,QB,200.0,1.0,18.0,24.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0,209.625,262.6666666666667,1.875,2.6666666666666665,25.875,8.333333333333334,0.625,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.25,5.0,18.875,19.333333333333332,30.125,28.666666666666668,0.0,0.0,0.125,0.3333333333333333,4
00-0023459,A.Rodgers,PIT,CLE,6,2025,2025_06_CLE_PIT,QB,235.0,2.0,21.0,30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5
00-0023459,A.Rodgers,PIT,CIN,7,2025,2025_07_PIT_CIN,QB,249.0,4.0,23.0,34.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,27.75,37.333333333333336,0.375,0.3333333333333333,2.625,3.0,0.125,0.0,0.0,0.0,0.0,0.0,3.625,5.0,0.0,0.0,6
00-0023459,A.Rodgers,PIT,GB,8,2025,2025_08_GB_PIT,QB,219.0,2.0,24.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,54.333333333333336,52.333333333333336,0.6666666666666666,0.6666666666666666,3.8333333333333335,4.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,5.333333333333333,5.666666666666667,0.0,0.0,7
00-0023459,A.Rodgers,PIT,IND,9,2025,2025_09_IND_PIT,QB,203.0,1.0,25.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.833333333333332,37.666666666666664,0.3333333333333333,0.6666666666666666,1.8333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.3333333333333335,0.0,0.0,8
00-0023459,A.Rodgers,PIT,LAC,10,2025,2025_10_PIT_LAC,QB,161.0,1.0,16.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.25,4.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.3333333333333333,1.5,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.0,0.0,9
00-0023459,A.Rodgers,PIT,CIN,11,2025,2025_11_CIN_PIT,QB,116.0,1.0,9.0,16.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,4.8,4.666666666666667,0.0,0.0,1.0,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,1.8,1.6666666666666667,0.0,0.0,10
