player_id,player_name,team,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,games_played
00-0023459,A.Rodgers,PIT,1,2025,2025_01_PIT_NYJ,QB,244.0,4.0,22.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,135.11111111111111,152.33333333333334,0.6666666666666666,0.3333333333333333,6.333333333333333,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,1.3333333333333333,1
00-0023459,A.Rodgers,PIT,1,2025,2025_01_PIT_NYJ,RB,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,74.5,0.0,0.0,5.0,5.0,0.0,0.0,2
00-0023459,A.Rodgers,PIT,2,2025,2025_02_SEA_PIT,QB,203.0,1.0,18.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,1.0,1.0,0.0,0.0,3
00-0023459,A.Rodgers,PIT,2,2025,2025_02_SEA_PIT,RB,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4
00-0023459,A.Rodgers,PIT,3,2025,2025_03_PIT_NE,QB,139.0,2.0,16.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,147.0,105.33333333333333,0.5,0.3333333333333333,7.0,9.333333333333334,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,4.333333333333333,5
00-0023459,A.Rodgers,PIT,3,2025,2025_03_PIT_NE,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0,136.0,76.0,0.5,0.3333333333333333,9.166666666666666,9.666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,3.3333333333333335,6
00-0023459,A.Rodgers,PIT,4,2025,2025_04_MIN_PIT,QB,200.0,1.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,136.64285714285714,140.0,0.9285714285714286,1.0,13.285714285714286,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2142857142857144,2.3333333333333335,7
00-0023459,A.Rodgers,PIT,4,2025,2025_04_MIN_PIT,RB,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0,133.75,75.66666666666667,1.0,1.0,15.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,4.333333333333333,8
00-0023459,A.Rodgers,PIT,6,2025,2025_06_CLE_PIT,QB,235.0,2.0,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9
00-0023459,A.Rodgers,PIT,6,2025,2025_06_CLE_PIT,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,4.0,10
00-0023459,A.Rodgers,PIT,7,2025,2025_07_PIT_CIN,QB,249.0,4.0,23.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,11
00-0023459,A.Rodgers,PIT,7,2025,2025_07_PIT_CIN,RB,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
00-0023459,A.Rodgers,PIT,8,2025,2025_08_GB_PIT,QB,219.0,2.0,24.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.11111111111111,38.333333333333336,0.1111111111111111,0.3333333333333333,15.11111111111111,0.6666666666666666,0.2222222222222222,0.0,2.111111111111111,0.3333333333333333,6.666666666666667,10.0,13
00-0023459,A.Rodgers,PIT,9,2025,2025_09_IND_PIT,QB,203.0,1.0,25.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.833333333333334,15.666666666666666,0.0,0.0,1.1666666666666667,1.6666666666666667,0.5,0.0,14
