"season","week","team","season_type","opponent_team","completions","attempts","passing_yards","passing_tds","passing_interceptions","sacks_suffered","sack_yards_lost","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_cpoe","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","special_teams_tds","def_tackles_solo","def_tackles_with_assist","def_tackle_assists","def_tackles_for_loss","def_tackles_for_loss_yards","def_fumbles_forced","def_sacks","def_sack_yards","def_qb_hits","def_interceptions","def_interception_yards","def_pass_defended","def_tds","def_fumbles","def_safeties","misc_yards","fumble_recovery_own","fumble_recovery_yards_own","fumble_recovery_opp","fumble_recovery_yards_opp","fumble_recovery_tds","penalties","penalty_yards","timeouts","punt_returns","punt_return_yards","kickoff_returns","kickoff_return_yards","fg_made","fg_att","fg_missed","fg_blocked","fg_long","fg_pct","fg_made_0_19","fg_made_20_29","fg_made_30_39","fg_made_40_49","fg_made_50_59","fg_made_60_","fg_missed_0_19","fg_missed_20_29","fg_missed_30_39","fg_missed_40_49","fg_missed_50_59","fg_missed_60_","fg_made_list","fg_missed_list","fg_blocked_list","fg_made_distance","fg_missed_distance","fg_blocked_distance","pat_made","pat_att","pat_missed","pat_blocked","pat_pct","gwfg_made","gwfg_att","gwfg_missed","gwfg_blocked","gwfg_distance"
2024,1,"ARI","REG","BUF",21,31,162,1,0,4,-16,1,1,191,100,10,-1.18484973521212,1.19662813601955,0,25,124,1,0,0,7,4.9849497021037,1,21,31,162,1,0,0,191,100,10,8.12971816144178,0,1,29,14,28,5,18,1,2,10,3,0,0,2,0,0,0,0,0,0,1,1,0,5,31,1,1,6,3,123,2,2,0,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,"29;31",NA,NA,60,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"ATL","REG","PIT",16,26,155,1,2,2,-18,0,0,140,73,8,-11.084852608804,-1.98548669400423,0,22,89,0,0,0,7,-6.2247729957453,0,16,23,155,1,0,0,140,73,8,-7.57680428232847,0,0,45,9,29,7,36,0,2,23,5,0,0,1,0,0,0,0,0,1,0,0,0,5,34,6,2,28,2,56,1,1,0,0,24,1,0,1,0,0,0,0,0,0,0,0,0,0,"24",NA,NA,24,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"BAL","REG","KC",26,41,273,1,0,1,-6,1,1,267,166,11,-2.49115960456703,-3.68681766092777,0,32,185,1,0,0,13,8.45920787867057,0,26,40,273,1,0,0,267,166,11,3.72305508744165,0,0,28,4,20,2,12,0,2,10,7,1,0,4,0,0,0,0,0,0,0,0,0,7,64,7,1,3,0,0,2,3,1,0,32,0.666666666666667,0,1,1,0,0,0,0,0,0,0,1,0,"25;32","53",NA,57,53,0,2,2,0,0,1,0,0,0,0,0
2024,1,"BUF","REG","ARI",18,23,232,2,0,2,-10,1,1,166,125,11,9.16109809110099,9.89194162513899,0,33,130,2,0,0,10,3.49770999957406,0,18,23,232,2,0,0,166,125,11,15.6832189439738,0,0,38,7,17,4,19,1,4,16,5,0,0,3,0,0,0,0,0,0,1,1,0,9,65,3,1,7,1,53,2,2,0,0,39,1,0,0,2,0,0,0,0,0,0,0,0,0,"37;39",NA,NA,76,0,0,4,4,0,0,1,0,0,0,0,0
2024,1,"CAR","REG","NO",13,31,161,0,2,4,-26,0,0,383,50,7,-18.4672945258134,-17.1862853498294,0,20,58,1,1,1,2,-8.23061507137027,0,13,29,161,0,0,0,383,50,7,-10.9172988854624,0,0,40,6,30,6,17,0,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,6,80,4,0,0,9,232,1,1,0,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,"43",NA,NA,43,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"CHI","REG","TEN",14,29,93,0,0,2,-29,0,0,214,48,5,-12.146704188691,-19.8383863629966,1,22,84,0,0,0,6,-0.795930482714666,0,14,29,93,0,1,0,214,48,5,-8.07137292242008,1,1,40,8,22,8,34,1,3,23,10,2,52,4,1,0,0,21,2,2,1,1,0,7,55,1,5,64,2,67,3,3,0,0,50,1,0,1,0,1,1,0,0,0,0,0,0,0,"24;50;48",NA,NA,122,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"CIN","REG","NE",21,29,164,0,0,3,-10,1,0,162,67,7,-4.17061477770086,-0.0967869470859359,0,16,70,1,0,0,5,2.1775300859008,0,21,29,164,0,1,1,162,67,7,-5.83771294774488,0,0,34,8,32,5,9,1,1,1,7,0,0,3,0,1,0,0,1,1,0,0,0,2,10,6,4,22,0,0,1,1,0,0,51,1,0,0,0,0,1,0,0,0,0,0,0,0,"51",NA,NA,51,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"CLE","REG","DAL",24,45,169,1,2,6,-32,1,0,395,102,8,-23.1156564790872,-7.96281061200208,0,19,93,1,0,0,5,4.0851491917274,0,24,43,169,1,0,0,395,102,8,-12.0115544780274,0,0,35,12,20,6,20,1,3,16,4,0,0,6,0,0,0,0,1,1,0,0,0,11,64,5,5,72,4,97,1,1,0,0,51,1,0,0,0,0,1,0,0,0,0,0,0,0,"51",NA,NA,51,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"DAL","REG","CLE",19,32,179,1,0,3,-16,1,0,290,100,8,-6.66733779556219,-6.60680647819273,0,25,102,1,0,0,8,0.121583037631353,0,19,31,179,1,0,0,290,100,8,-2.51259740327453,0,1,39,7,27,6,34,1,6,32,17,2,9,8,0,0,0,0,1,1,0,0,0,11,85,1,5,96,1,34,4,4,0,0,57,1,0,0,0,2,2,0,0,0,0,0,0,0,"57;40;50;46",NA,NA,193,0,0,3,3,0,0,1,0,0,0,0,0
2024,1,"DEN","REG","SEA",26,42,138,0,2,2,-6,0,0,264,68,6,-18.2777050810312,-5.0897764308112,0,25,99,1,1,0,7,-0.606109057727735,0,26,42,138,0,1,1,264,68,6,-19.6957470136406,0,0,29,14,28,9,29,0,2,13,7,1,21,2,0,0,2,0,1,1,1,1,0,8,60,6,5,47,3,69,3,3,0,0,45,1,0,0,2,1,0,0,0,0,0,0,0,0,"35;30;45",NA,NA,110,0,0,1,1,0,0,1,0,0,0,0,0
